PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,#1 Venue,#2 Venue,#3 Venue,#4 Venue,#5 Venue
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000002,1,Coffee Shop,Pizza Place,Sandwich Place,Park,Café
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,1,Coffee Shop,Pizza Place,Sandwich Place,Park,Café
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5B,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.65057120000001,-79.3845675,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.38157640000001,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000002,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,1,Coffee Shop,Pizza Place,Sandwich Place,Park,Café
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000002,1,Coffee Shop,Pizza Place,Sandwich Place,Park,Café
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1,Coffee Shop,Pizza Place,Sandwich Place,Park,Café
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999998,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M6A,North York,"Lawrence Heights, Lawrence Manor",43.718518,-79.46476329999999,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M6B,North York,Glencairn,43.709577,-79.44507259999997,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,2,Park,Restaurant,Trail,Discount Store,Tennis Court
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,2,Park,Restaurant,Trail,Discount Store,Tennis Court
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Coffee Shop,Café,Restaurant,Hotel,Bakery
M6H,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M6L,North York,"Downsview, North Park, Upwood Park",43.71375620000001,-79.4900738,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999998,2,Park,Restaurant,Trail,Discount Store,Tennis Court
M6N,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000002,2,Park,Restaurant,Trail,Discount Store,Tennis Court
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,0,Bar,Coffee Shop,Café,Bakery,Italian Restaurant
M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938,4,Coffee Shop,Park,Gym,Japanese Restaurant,Sushi Restaurant
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,3,Hotel,Coffee Shop,Gym / Fitness Center,Burrito Place,Fried Chicken Joint
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,0,Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Café
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000002,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65365360000001,-79.5069436,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999998,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000002,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9L,North York,Humber Summit,43.7563033,-79.56596329999998,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M9M,North York,"Emery, Humberlea",43.7247659,-79.53224240000002,1,Coffee Shop,Clothing Store,Fast Food Restaurant,Japanese Restaurant,Restaurant
M9N,York,Weston,43.706876,-79.51818840000001,2,Park,Restaurant,Trail,Discount Store,Tennis Court
M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7394164,-79.5884369,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
M9W,Etobicoke,Northwest,43.7067483,-79.5940544,1,Pizza Place,Sandwich Place,Pharmacy,Coffee Shop,Liquor Store
